date,title,body,url,image,source
2022-10-09T17:00:00,El chicle del procès,Se hizo raro escuchar a Jordi Sànchez firmar el certificado de defunción del procès tras la ruptura del Govern. El soberanismo vasco no debe sentir orfandad estos días porque nunca vio el procès como,https://www.deia.eus/opinion/2022/10/09/chicle-proces-6098266.html,https://www.deia.eus/images/og-facebook/deia.jpg?id=0-152-0,deia
2022-10-09T15:18:25,"Marlaska cree que el 'procés' ha decaído por el ""diálogo constante"" de Sánchez","El ministro del Interior, Fernando Grande-Marlaska, ha asegurado este domingo que la situación social en Cataluña dista mucho de la que había hace cuatro años, tras el referéndum del 1-O, y lo ha at",https://www.msn.com/es-es/news/espana/marlaska-cree-que-el-proc-c3-a9s-e2-80-99-ha-deca-c3-addo-por-el-di-c3-a1logo-constante-de-s-c3-a1nchez/ar-AA12LAbc,https://estaticos-cdn.elperiodico.com/clip/ba523bae-da6c-401f-83bc-9f6ba817c544_16-9-discover-aspect-ratio_default_0.jpg,El Periódico on MSN.com
2022-10-09T09:25:00,"Videoblog del Director: ""Los espasmos del ""Procés"" en el Callejón del Gato""","Ahmed, vecino de la calle San Antonio de Lobosillo donde murió un niño durante un cumpleaños. Manuel Pizarro: Prefiero ser yo quien decida qué hago con mi dinero, me ha costado mucho ganarlo J.V, S.",https://www.dailymotion.com/video/x8ebrz9,https://s2.dmcdn.net/v/UH51b1ZGnu-u31h2m/x720,DailyMotion
2022-10-09T06:48:00,El 'procés' ha muerto y cae el puente de Putin,#PrimerasPlanas | Jordi Sànchez certifica el fin de la unidad estratégica de independentismo. #Junqueras rechaza la mano tendida del PSC. #Rusia atribuye a Ucrania el ataque al puente de Crimea,https://cronicaglobal.elespanol.com/primeras-planas/proces-muerto-cae-puente-putin_727961_102.html,https://cronicaglobal.elespanol.com/uploads/s1/14/51/02/00/planas_2_505x267.jpeg,cronicaglobal
2022-10-09T01:59:00,La implosión independentista pone punto final a una década de 'procés',El ex presidente de la ANC admite que con la salida de Junts del Govern «acaba con lo que hasta ahora se había identificado como procés»,https://www.abc.es/espana/implosion-independentista-pone-punto-final-decada-proces-20221009202602-nt.html,https://s3.abcstatics.com/abc/www/multimedia/espana/2022/10/08/telegram-cloud-photo-size-4-5911492991242058406-y-RGN07lS3HxW7LqsgWDFUZsM-1024x512@abc.jpg,ABC
2022-10-09T01:33:27,El 'procés' ha muerto: la ruptura entre ERC y Junts abre una nueva etapa en Cataluña,"El procés murió tras la declaración unilateral de independencia, cuando Carles Puigdemont y otros consejeros de su gobierno huyeron a Bruselas y el resto del Govern se puso a disposición de la justi",https://www.msn.com/es-es/news/espana/el-e2-80-98proc-c3-a9s-e2-80-99-ha-muerto-la-ruptura-entre-erc-y-junts-abre-una-nueva-etapa-en-catalu-c3-b1a/ar-AA12KETN,https://www.diariodeleon.es/media/diariodeleon/images/2022/10/09/2022100901332738859.jpg,diariodeleon.es on MSN.com
2022-10-08T23:51:00,"La ruptura del Govern pone fin al ""procés"" independentista",Aragonès ultima un gabinete monocolor con expertos en carteras técnicas. Jordi Sánchez acaba con el relato político de la última década: Se ha cerrado,https://www.larazon.es/cataluna/20221009/ft5j3tfcjze4nn6oeyuqtwtbtu.html,https://www.larazon.es/resizer/2i2giDbG56Kd5Iu5Usus2J9xYyM=/1260x840/smart/filters:format(jpg)/cloudfront-eu-central-1.images.arcpublishing.com/larazon/OP3P55WQNNHT3BDO3RA723N2JI.jpg,La Razón Digital
2022-10-08T22:06:07,"ERC y Junts finiquitan el ""procés"" en una crisis en la que solo gana Pedro Sánchez",ERC y JxCat han finiquitado este fin de semana una década de coaliciones gubernamentales en la Generalitat a caballo de la promesa de independencia. La,https://www.msn.com/es-es/news/espana/erc-y-junts-finiquitan-el-proc-c3-a9s-en-una-crisis-en-la-que-solo-gana-pedro-s-c3-a1nchez/ar-AA12KsMn,https://www.elindependiente.com/wp-content/uploads/2022/10/Aragones-equipo-1200x675.jpg,El Independiente on MSN.com
2022-10-08T21:35:00,La ruptura entre ERC y JxCat liquida el procés y abre un nuevo ciclo,"A estas horas, la política catalana asiste perpleja a la decisión de Junts per Catalunya (JxCat) de abandonar el Govern de la Generalitat. Pese a",https://www.naiz.eus/eu/hemeroteca/gara/editions/2022-10-09/hemeroteca_articles/la-ruptura-entre-erc-y-jxcat-liquida-el-proces-y-abre-un-nuevo-ciclo,https://www.naiz.eus/media/asset_publics/resources/000/940/009/original/1009_EG_catalunya.jpg,Gara
2022-10-08T20:22:00,El independentismo asume la muerte del 'procés' pero ERC se resiste a pactar con el PSC,Aragonès ultima un Govern monocolor que se apoye en los comunes mientras su partido rechaza la mano tendida por Illa,https://www.msn.com/es-es/news/espana/el-independentismo-asume-la-muerte-del-proc-c3-a9s-pero-erc-se-resiste-a-pactar-con-el-psc/ar-AA12LGEz,https://static.elcorreo.com/www/multimedia/202210/09/media/cortadas/independent11-kDx--984x468@El%20Correo.jpg,El Correo on MSN.com
